user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,kyc_status_original,pan_missing_flag,aadhaar_missing_flag,dob_missing_flag,income_missing_flag,signup_missing_flag,kyc_rejected_flag,kyc_pending_flag,high_risk_segment_flag
USR16112,DHRITI DESHMUKH,SEJAA8194O,715658320763,06/04/1967 12:14 AM,BOMBAY,MAHARASHTRA,35119,RETIRED,2025-12-02 02:18:16,APPROVED,LOW,DONE,False,False,False,False,False,False,False,False
USR17216,MEGHA JANI,QT0ZZ5561X,023412025028,,LUCKNOW,UTTAR PRADESH,80907,FREELANCER,01-31-2024,VERIFIED,MEDIUM,VERIFIED,False,False,True,False,False,False,False,False
USR45454,PANINI LAL,QCNTL9489O,278162999816,,KOLKATA,WEST BENGAL,"₹11,214",FARMER,2026-01-30 23:57:18,PENDING,HIGH,PENDING,False,False,True,False,False,False,True,True
USR46189,JACK PARIKH,RRVUI4059Q,066780327731,,AMRITSAR,PUNJAB,27.3k,STUDENT,09-04-2025,VERIFIED,LOW,VERIFIED,False,False,True,False,False,False,False,False
USR85256,ETA RAVI,YGVOI9236W,176258817110,1969-02-19 08:25:23,DELHI,DELHI,"INR 24,705",SALARIED,03-Feb-2026,APPROVED,LOW,APPROVED,False,False,False,False,False,False,False,False
USR20918,VANYA CHAD,JDGOH0074Y,894463789078,20/04/1961,BLR,KARNATAKA,14124,SELF EMPLOYED,25/04/2024,REJECTED,MEDIUM,REJECTED,False,False,False,False,False,True,False,False
USR22494,NIRJA SHETTY,JWZVO4240H,5277136337802,05-Sep-1990,CHENNAI,TAMIL NADU,16160,RETIRED,,REJECTED,MEDIUM,REJECT,False,False,False,False,True,True,False,False
USR34742,ATI DASH,OOQCG9609N,985048780290,12-20-1962,JAIPUR,RAJASTHAN,43738,UNEMPLOYED,07-25-2025,APPROVED,HIGH,APPROVED,False,False,False,False,False,False,False,True
USR83137,RIA KALE,,4902616251043,09-Sep-2005,JAIPUR,RAJASTHAN,25151,FREELANCER,03/04/2024,PENDING,LOW,PENDING,True,False,False,False,False,False,True,False
USR99161,JALSA MALHOTRA,QLSKS5105S,944300371193,20/05/1963 05:27 AM,JALANDHAR,PUNJAB,-8083,RETIRED,,REJECTED,LOW,REJECTED,False,False,False,False,True,True,False,False
USR16625,ANIKA VORA,CACWZ 2722 S,017979940718,,LUCKNOW,UTTAR PRADESH,28634,UNEMPLOYED,08-Mar-2026,APPROVED,MEDIUM,DONE,False,False,True,False,False,False,False,False
USR65060,ANIRUDH BHATNAGAR,AIWTB 3506 U,2501336722102,2003/06/16,JPR,RAJASTHAN,30875,STUDENT,2024-05-24 07:29:05,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
USR13678,REVA JAGGI,KWLPY9915,577479489696,27/05/1982,JAIPUR,RAJASTHAN,24.2k,GIG WORKER,16/02/2024,PENDING,LOW,PENDING,False,False,False,False,False,False,True,False
USR78719,INDIRACHAUDHARY,VGLXS2856D,624494538280,1977-04-17 07:18:29,LUDHIANA,PUNJAB,"Rs. 20,231",STUDENT,30-Jan-2024,VERIFIED,LOW,V,False,False,False,False,False,False,False,False
USR83333,GAUTAM BAJWA,HLNXD 7947 Q,846950176261,24/08/1969 03:28 AM,HYDERABAD,TELANGANA,24890,FREELANCER,1752135790,REJECTED,LOW,REJECTED,False,False,False,False,False,True,False,False
USR53554,HEMANI BEHL,SIBUO4381D,448832778808,1968-09-20 20:31:53,DILLI,DELHI,"Rs. 26,617",BUSINESS OWNER,2024-01-03 00:50:12,APPROVED,LOW,KYC_DONE,False,False,False,False,False,False,False,False
USR77711,WARINDER SOLANKI,MFDIC1823G,5406,15-Jul-1987,PUNE,MAHARASHTRA,-81093,GIG WORKER,2025-04-06 14:45:00,PENDING,HIGH,PENDING,False,False,False,False,False,False,True,True
USR69726,RUDRA LAL,CXBKD3190N,976073035125,809571887,CALCUTTA,WEST BENGAL,17.7k,STUDENT,30-Dec-2024,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
USR53544,DANIEL GOKHALE,UFLEH5366C,,16/07/1998,LUCKNOW,UTTAR PRADESH,32124,SELF EMPLOYED,2025/10/12,VERIFIED,HIGH,V,False,True,False,False,False,False,False,True
USR57699,ADVIK OM,MXMQW-7893-W,1365,26/04/1999,LUCKNOW,UTTAR PRADESH,"Rs. 19,875",FREELANCER,04-06-2024,VERIFIED,LOW,V,False,False,False,False,False,False,False,False
USR53382,MEKHALA GOLLA,BOBCZ3795L,652660807695,06-02-1967,HYD,TELANGANA,13098,RETIRED,2026/01/12,APPROVED,LOW,KYC_DONE,False,False,False,False,False,False,False,False
USR26959,GANGA PAI,JXFNR 4730 M,149449272703,1966/07/04,ASR,PUNJAB,"₹19,624",RETIRED,12-Feb-2026,VERIFIED,UNKNOWN,VERIFIED,False,False,False,False,False,False,False,False
USR13068,MEGHA CHANDRA,AVJUN6708Q,282909798427,10/09/1993 01:31 PM,KOLKATA,WEST BENGAL,25378,SELF EMPLOYED,02-18-2024,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
USR32767,SANYA DALAL,HBFFH5169P,584280034012,01-18-1964,NEW DELHI,DELHI,"Rs. 17,051",GIG WORKER,11/10/2024,APPROVED,HIGH,KYC_DONE,False,False,False,False,False,False,False,True
USR86400,QADIM NAYAK,AQHFS2686A,945287372343,06-09-1978,HYD,TELANGANA,"Rs. 19,485",RETIRED,2026-02-06 04:09:04,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
USR72012,LIAM VARKEY,CNIVL5277X,0556,25/08/2004,MUMBAI,MAHARASHTRA,-23591,SALARIED,2025-09-08 15:25:17,PENDING,LOW,PENDING,False,False,False,False,False,False,True,False
USR65078,ANAMIKA CHAUDHARY,EYKUP2541J,871855606283,09/01/1987,JPR,RAJASTHAN,16714,FREELANCER,10/11/2024 04:26 PM,APPROVED,LOW,DONE,False,False,False,False,False,False,False,False
USR37121,BHAVIKA THAKER,MKYUT 2802 M,015496732243,29/07/1983,BLR,KARNATAKA,"INR 31,824",SELF EMPLOYED,16/02/2025,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
USR64308,VEDANT LALLA,,843937681323,13/02/1990,CALCUTTA,WEST BENGAL,10907,RETIRED,2026/03/08,VERIFIED,MEDIUM,V,True,False,False,False,False,False,False,False
USR13880,KRISHA BORRA,YWBSY7212H,,23/09/2003,HYDERABAD,TELANGANA,"INR 21,188",FARMER,1719640264,VERIFIED,LOW,VERIFIED,False,True,False,False,False,False,False,False
USR56830,EKAPAD DALAL,FPHDL6481K,744698471442,12-23-1960,JAIPUR,RAJASTHAN,22808,BUSINESS OWNER,1733423310,VERIFIED,HIGH,VERIFIED,False,False,False,False,False,False,False,True
USR95322,ADVIK SAHOTA,QEHZG5598Z,738867861215,149330544,CALCUTTA,WEST BENGAL,35085,FARMER,03/12/2024,VERIFIED,HIGH,VERIFIED,False,False,False,False,False,False,False,True
USR23760,SAKSHAM DAVE,XSGLB7836O,982003027776,2003-10-20 16:41:57,LUCKNOW,UTTAR PRADESH,-28593,GIG WORKER,2024/04/07,APPROVED,MEDIUM,KYC_DONE,False,False,False,False,False,False,False,False
USR28092,JACK LANKA,VANEO 2162 B,995050559108,14/09/1990,DILLI,DELHI,47900,FREELANCER,12-27-2024,APPROVED,LOW,APPROVED,False,False,False,False,False,False,False,False
USR41268,ONKAR RATTA,MTPRE0507U,095974642287,08-28-2006,JALANDAR,PUNJAB,35166,RETIRED,08/09/2024,IN_PROGRESS,LOW,IN_PROGRESS,False,False,False,False,False,False,True,False
USR61809,ARJUN CHANDER,JAWRM6042P,432985168205,560746453,LUCKNOW,UTTAR PRADESH,"Rs. 13,796",FREELANCER,1753923895,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
86464,TANAY SINHA,HCUCZ8229X,446687716426,1985-12-29 21:02:19,LDH,PUNJAB,"₹12,686",BUSINESS OWNER,2026/01/05,VERIFIED,MEDIUM,V,False,False,False,False,False,False,False,False
USR29929,YAMINI KADE,BZKKN4437J,025396904187,1978/02/20,LUCKNOW,UTTAR PRADESH,-42360,BUSINESS OWNER,09-16-2025,UNKNOWN,LOW,UNDER REVIEW,False,False,False,False,False,False,False,False
USR75086,CALEB MAMMEN,JVXFL4848V,560545067480,2003/08/30,LDH,PUNJAB,47.6k,FARMER,04/11/2025 09:28 PM,PENDING,UNKNOWN,P,False,False,False,False,False,False,True,False
USR78743,ATHARVLALL,GUHZF 2370 F,982856210452,04-22-1970,JAIPUR,RAJASTHAN,"₹18,539",SELF EMPLOYED,12-24-2024,PENDING,LOW,PENDING,False,False,False,False,False,False,True,False
USR59316,PRISHA CHANDER,XHBKR5403M,534910368969,1994/02/03,LUDHIANA,PUNJAB,13.3k,UNEMPLOYED,03-07-2026,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
USR90387,AARNA DEVI,TFWBR0265R,,02-Jul-1988,JPR,RAJASTHAN,"INR 24,127",BUSINESS OWNER,2025/12/24,VERIFIED,LOW,VERIFIED,False,True,False,False,False,False,False,False
USR18776,PUSHTI SHA,OGVKP 1291 Y,,08-08-1966,HYD,TELANGANA,,STUDENT,2025/09/05,APPROVED,LOW,APPROVED,False,True,False,True,False,False,False,False
USR13953,MUGDHA THAKER,GJIRE9459M,851299154050,11-Feb-1997,AMRITSAR,PUNJAB,23495,SELF EMPLOYED,17/04/2025,APPROVED,LOW,KYC_DONE,False,False,False,False,False,False,False,False
USR33108,EKAVIR BAL,CINIP4289D,866127906399,18/09/1979 10:30 AM,BENGALURU,KARNATAKA,-19266,FREELANCER,03-02-2024,APPROVED,LOW,KYC_DONE,False,False,False,False,False,False,False,False
USR71267,NOAH WABLE,WVMOD 0360 T,497610284249,1964-04-14 17:35:56,BANGALORE,KARNATAKA,20388,STUDENT,06-04-2025,APPROVED,LOW,DONE,False,False,False,False,False,False,False,False
USR82470,OWEN NAIR,DPRST6843S,645578891743,30/07/1972,PUNE,MAHARASHTRA,35891,FARMER,2025/06/25,PENDING,MEDIUM,PENDING,False,False,False,False,False,False,True,False
USR91477,OJAS KUMER,AXMWY 7954 C,931168320493,08/03/1961 12:28 AM,LDH,PUNJAB,"Rs. 28,545",UNEMPLOYED,25-Mar-2026,VERIFIED,LOW,VERIFIED,False,False,False,False,False,False,False,False
